gene_id,symbol,name
ENSG00000179950,PUF60,poly(U) binding splicing factor 60
ENSG00000179954,SSC5D,scavenger receptor cysteine rich family member with 5 domains
ENSG00000179958,DCTPP1,dCTP pyrophosphatase 1
ENSG00000179965,ZNF771,zinc finger protein 771
ENSG00000179978,NAIPP2,NAIP pseudogene 2
ENSG00000179981,TSHZ1,teashirt zinc finger homeobox 1
ENSG00000179988,PSTK,phosphoseryl-tRNA kinase
ENSG00000180008,SOCS4,suppressor of cytokine signaling 4
ENSG00000180011,PTGR3,prostaglandin reductase 3
ENSG00000180015,,
ENSG00000180035,ZNF48,zinc finger protein 48
ENSG00000180043,GARIN5B,golgi associated RAB2 interactor family member 5B
ENSG00000180044,C3orf80,chromosome 3 open reading frame 80
ENSG00000180061,TMEM150B,transmembrane protein 150B
ENSG00000180066,LINC02870,long independently transcribed non-coding RNA 2870
ENSG00000180071,ANKRD18A,ankyrin repeat domain 18A
ENSG00000180089,TMEM86B,transmembrane protein 86B
ENSG00000180096,SEPTIN1,septin 1
ENSG00000180098,TRNAU1AP,tRNA selenocysteine 1 associated protein 1
ENSG00000180104,EXOC3,exocyst complex component 3
ENSG00000180113,TDRD6,tudor domain containing 6
ENSG00000180139,ACTA2-AS1,ACTA2 antisense RNA 1
ENSG00000180155,LYNX1,Ly6/neurotoxin 1
ENSG00000180176,TH,tyrosine hydroxylase
ENSG00000180182,MED14,mediator complex subunit 14
ENSG00000180185,FAHD1,FAH domain containing oxaloacetate decarboxylase 1
ENSG00000180189,HMGB1P14,high mobility group box 1 pseudogene 14
ENSG00000180190,TDRP,testis development related protein
ENSG00000180198,RCC1,regulator of chromosome condensation 1
ENSG00000180209,MYL11,myosin light chain 11
ENSG00000180210,F2,"coagulation factor II, thrombin"
ENSG00000180211,RPL23P6,ribosomal protein L23 pseudogene 6
ENSG00000180219,GARIN6,golgi associated RAB2 interactor family member 6
ENSG00000180228,PRKRA,protein activator of interferon induced protein kinase EIF2AK2
ENSG00000180229,HERC2P3,HERC2 pseudogene 3
ENSG00000180230,NACAP2,NACA pseudogene 2
ENSG00000180233,ZNRF2,zinc and ring finger 2
ENSG00000180245,RRH,retinal pigment epithelium-derived rhodopsin homolog
ENSG00000180251,SLC9A4,solute carrier family 9 member A4
ENSG00000180257,ZNF816,zinc finger protein 816
ENSG00000180263,FGD6,"FYVE, RhoGEF and PH domain containing 6"
ENSG00000180264,ADGRD2,adhesion G protein-coupled receptor D2
ENSG00000180304,OAZ2,ornithine decarboxylase antizyme 2
ENSG00000180316,PNPLA1,"patatin like domain 1, omega-hydroxyceramide transacylase"
ENSG00000180318,ALX1,ALX homeobox 1
ENSG00000180329,CCDC43,coiled-coil domain containing 43
ENSG00000180336,MEIOC,meiosis specific with coiled-coil domain
ENSG00000180340,FZD2,frizzled class receptor 2
ENSG00000180346,TIGD2,tigger transposable element derived 2
ENSG00000180347,ITPRID1,ITPR interacting domain containing 1
ENSG00000180353,HCLS1,hematopoietic cell-specific Lyn substrate 1
ENSG00000180354,MTURN,"maturin, neural progenitor differentiation regulator homolog"
ENSG00000180357,ZNF609,zinc finger protein 609
ENSG00000180370,PAK2,p21 (RAC1) activated kinase 2
ENSG00000180376,CCDC66,coiled-coil domain containing 66
ENSG00000180385,EMC3-AS1,EMC3 antisense RNA 1
ENSG00000180398,MCFD2,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
ENSG00000180422,LINC00304,long independently transcribed non-coding RNA 304
ENSG00000180423,HARBI1,harbinger transposase derived 1
ENSG00000180425,C11orf71,chromosome 11 open reading frame 71
ENSG00000180432,CYP8B1,cytochrome P450 family 8 subfamily B member 1
ENSG00000180438,TPRXL,tetrapeptide repeat homeobox like (pseudogene)
ENSG00000180447,GAS1,growth arrest specific 1
ENSG00000180448,ARHGAP45,Rho GTPase activating protein 45
ENSG00000180458,,
ENSG00000180479,ZNF571,zinc finger protein 571
ENSG00000180481,GLIPR1L2,GLIPR1 like 2
ENSG00000180488,MIGA1,mitoguardin 1
ENSG00000180509,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1
ENSG00000180530,NRIP1,nuclear receptor interacting protein 1
ENSG00000180535,BHLHA15,basic helix-loop-helix family member a15
ENSG00000180537,RNF182,ring finger protein 182
ENSG00000180539,LINC02908,long independently transcribed non-coding RNA 2908
ENSG00000180543,TSPYL5,TSPY like 5
ENSG00000180549,FUT7,fucosyltransferase 7
ENSG00000180573,H2AC6,H2A clustered histone 6
ENSG00000180574,EIF2S3B,eukaryotic translation initiation factor 2 subunit gamma B
ENSG00000180581,SRP9P1,signal recognition particle 9 pseudogene 1
ENSG00000180592,SKIDA1,SKI/DACH domain containing 1
ENSG00000180596,H2BC4,H2B clustered histone 4
ENSG00000180611,MB21D2,Mab-21 domain containing 2
ENSG00000180616,SSTR2,somatostatin receptor 2
ENSG00000180626,ZNF594,zinc finger protein 594
ENSG00000180628,PCGF5,polycomb group ring finger 5
ENSG00000180638,SLC47A2,solute carrier family 47 member 2
ENSG00000180658,OR2A4,olfactory receptor family 2 subfamily A member 4
ENSG00000180660,MAB21L1,mab-21 like 1
ENSG00000180667,YOD1,YOD1 deubiquitinase
ENSG00000180694,TMEM64,transmembrane protein 64
ENSG00000180708,OR10K2,olfactory receptor family 10 subfamily K member 2
ENSG00000180712,LINC02363,long independently transcribed non-coding RNA 2363
ENSG00000180720,CHRM4,cholinergic receptor muscarinic 4
ENSG00000180730,SHISA2,shisa family member 2
ENSG00000180739,S1PR5,sphingosine-1-phosphate receptor 5
ENSG00000180747,SMG1P3,SMG1 pseudogene 3
ENSG00000180758,GPR157,G protein-coupled receptor 157
ENSG00000180764,PIPSL,PIP5K1A and PSMD4 like (pseudogene)
ENSG00000180767,CHST13,carbohydrate sulfotransferase 13
ENSG00000180769,WDFY3-AS2,WDFY3 antisense RNA 2
ENSG00000180773,SLC36A4,solute carrier family 36 member 4
ENSG00000180776,ZDHHC20,zDHHC palmitoyltransferase 20
ENSG00000180777,ANKRD30B,ankyrin repeat domain 30B
ENSG00000180787,ZFP3,ZFP3 zinc finger protein
